,4. close
2025-08-13,5.3986
2025-08-14,5.4155
2025-08-15,5.4005
2025-08-18,5.4363
2025-08-19,5.5036
2025-08-20,5.4824
2025-08-21,5.4707
2025-08-22,5.4217
2025-08-25,5.4116
2025-08-26,5.4307
2025-08-27,5.4173
2025-08-28,5.4125
2025-08-29,5.4299
2025-09-01,5.4399
2025-09-02,5.4646
2025-09-03,5.4513
2025-09-04,5.4457
2025-09-05,5.4127
2025-09-08,5.4192
2025-09-09,5.4394
2025-09-10,5.4084
2025-09-11,5.3899
2025-09-12,5.3545
2025-09-15,5.3163
2025-09-16,5.2957
2025-09-17,5.3052
2025-09-18,5.3132
2025-09-19,5.3232
2025-09-22,5.3345
2025-09-23,5.2826
2025-09-24,5.3324
2025-09-25,5.3634
2025-09-26,5.3426
2025-09-29,5.3216
2025-09-30,5.3224
2025-10-01,5.3286
2025-10-02,5.338
2025-10-03,5.337
2025-10-06,5.3127
2025-10-07,5.3501
2025-10-08,5.3426
2025-10-09,5.368
2025-10-10,5.5217
2025-10-13,5.4637
2025-10-14,5.4817
2025-10-15,5.4546
2025-10-16,5.4452
2025-10-17,5.408
2025-10-20,5.3743
2025-10-21,5.3876
2025-10-22,5.3997
2025-10-23,5.3821
2025-10-24,5.3887
2025-10-27,5.3728
2025-10-28,5.3578
2025-10-29,5.3605
2025-10-30,5.3807
2025-10-31,5.3739
2025-11-03,5.3568
2025-11-04,5.3972
2025-11-05,5.3595
2025-11-06,5.3498
2025-11-07,5.3321
2025-11-10,5.2907
2025-11-11,5.2717
2025-11-12,5.2925
2025-11-13,5.2978
2025-11-14,5.2964
2025-11-17,5.329
2025-11-18,5.3218
2025-11-19,5.3304
2025-11-20,5.3328
2025-11-21,5.4028
2025-11-24,5.3884
2025-11-25,5.381
2025-11-26,5.3319
2025-11-27,5.3562
2025-11-28,5.3363
2025-12-01,5.3571
2025-12-02,5.3274
2025-12-03,5.3074
2025-12-04,5.3092
2025-12-05,5.439
2025-12-08,5.4298
2025-12-09,5.4331
2025-12-10,5.4725
2025-12-11,5.4079
2025-12-12,5.4186
2025-12-15,5.4143
2025-12-16,5.5088
2025-12-17,5.52
2025-12-18,5.5216
2025-12-19,5.5425
2025-12-22,5.5896
2025-12-23,5.5203
2025-12-24,5.52
2025-12-26,5.5434
2025-12-29,5.5702
2025-12-30,5.477
2026-01-02,5.4223
